time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-24 00:00:00+00:00,2,2,0,0
2026-02-25 00:00:00+00:00,17,5,0,0
2026-02-26 00:00:00+00:00,14,5,0,0
2026-02-27 00:00:00+00:00,19,6,0,0
2026-02-28 00:00:00+00:00,21,8,0,0
2026-03-01 00:00:00+00:00,13,4,0,0
2026-03-02 00:00:00+00:00,18,9,2,2
2026-03-03 00:00:00+00:00,5,5,1,1
2026-03-04 00:00:00+00:00,20,8,2,1
2026-03-05 00:00:00+00:00,1,1,0,0
2026-03-06 00:00:00+00:00,18,6,0,0
2026-03-07 00:00:00+00:00,7,3,2,1
2026-03-08 00:00:00+00:00,12,4,0,0
2026-03-09 00:00:00+00:00,17,5,1,1
