time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-07-07 00:00:00+00:00,,,1,1
2025-07-09 00:00:00+00:00,,,21,1
2025-07-11 00:00:00+00:00,22.0,22.0,85,2
