time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-07 00:00:00+00:00,13,5,1,1
2026-04-08 00:00:00+00:00,21,8,0,0
2026-04-09 00:00:00+00:00,20,7,1,1
2026-04-10 00:00:00+00:00,24,7,0,0
2026-04-11 00:00:00+00:00,17,8,0,0
2026-04-12 00:00:00+00:00,26,7,0,0
2026-04-13 00:00:00+00:00,14,6,0,0
2026-04-14 00:00:00+00:00,16,7,0,0
2026-04-15 00:00:00+00:00,46,12,0,0
2026-04-16 00:00:00+00:00,25,9,0,0
2026-04-17 00:00:00+00:00,45,11,0,0
2026-04-18 00:00:00+00:00,20,7,0,0
2026-04-19 00:00:00+00:00,42,14,0,0
2026-04-20 00:00:00+00:00,35,17,0,0
